<X> <Y>
1.189470000000000e-01 5.474524642262071e-03
1.195710000000000e-01 5.421738937640477e-03
1.201950000000000e-01 5.363449779143215e-03
1.208200000000000e-01 5.299826529049476e-03
1.214440000000000e-01 5.231359555339969e-03
1.220680000000000e-01 5.158246887965216e-03
1.226920000000000e-01 5.080791760420957e-03
1.233160000000000e-01 4.999303210586121e-03
1.239400000000000e-01 4.914094443496168e-03
1.245640000000000e-01 4.825481273790407e-03
1.251880000000000e-01 4.733780648542702e-03
1.258120000000000e-01 4.639309250928570e-03
1.264360000000000e-01 4.542382184932706e-03
1.270600000000000e-01 4.443311741060979e-03
1.276840000000000e-01 4.342406242789451e-03
1.283080000000000e-01 4.239968973261047e-03
1.289320000000000e-01 4.136297181528148e-03
1.295560000000000e-01 4.031681167436848e-03
1.301800000000000e-01 3.926403444056737e-03
1.308050000000000e-01 3.820568472543528e-03
1.314290000000000e-01 3.714780001121906e-03
1.320530000000000e-01 3.609123798679092e-03
1.326770000000000e-01 3.503844341093458e-03
1.333010000000000e-01 3.399175241609580e-03
1.339250000000000e-01 3.295338846206283e-03
1.345490000000000e-01 3.192545894352108e-03
1.351730000000000e-01 3.090995242903378e-03
1.357970000000000e-01 2.990873650805654e-03
1.364210000000000e-01 2.892355622176464e-03
1.370450000000000e-01 2.795603305274424e-03
1.376690000000000e-01 2.700766444798307e-03
1.382930000000000e-01 2.607982384907779e-03
1.389170000000000e-01 2.517376120316454e-03
1.395410000000000e-01 2.429060392776434e-03
1.401650000000000e-01 2.343135830251687e-03
1.407890000000000e-01 2.259691126065452e-03
1.414140000000000e-01 2.178675715921743e-03
1.420380000000000e-01 2.100414435393166e-03
1.426620000000000e-01 2.024829897620025e-03
1.432860000000000e-01 1.951965536193413e-03
1.439100000000000e-01 1.881854251201037e-03
1.445340000000000e-01 1.814518771650440e-03
1.451580000000000e-01 1.749972039230701e-03
1.457820000000000e-01 1.688217610896251e-03
1.464060000000000e-01 1.629250077812549e-03
1.470300000000000e-01 1.573055498265491e-03
1.476540000000000e-01 1.519611842203418e-03
1.482780000000000e-01 1.468889445152727e-03
1.489020000000000e-01 1.420851469324307e-03
1.495260000000000e-01 1.375454369808442e-03
1.501500000000000e-01 1.332648363839538e-03
1.507740000000000e-01 1.292377901199109e-03
1.513980000000000e-01 1.254582133914978e-03
1.520230000000000e-01 1.219140570405371e-03
1.526470000000000e-01 1.186096480999780e-03
1.532710000000000e-01 1.155317285439958e-03
1.538950000000000e-01 1.126725563197019e-03
1.545190000000000e-01 1.100240876689034e-03
1.551430000000000e-01 1.075780203317940e-03
1.557670000000000e-01 1.053258356559902e-03
1.563910000000000e-01 1.032588395034325e-03
1.570150000000000e-01 1.013682018573409e-03
1.576390000000000e-01 9.964499504097814e-04
1.582630000000000e-01 9.808023046942813e-04
