<X> <Y>
8.649620000000000e-02 6.365588464190078e-03
8.712030000000000e-02 5.908835677810128e-03
8.774440000000000e-02 5.503506871668143e-03
8.836840000000000e-02 5.146484403971627e-03
8.899250000000000e-02 4.834571100659839e-03
8.961650000000000e-02 4.564874779186961e-03
9.024060000000000e-02 4.334407904353306e-03
9.086470000000001e-02 4.140408677188830e-03
9.148870000000001e-02 3.980186277582815e-03
9.211279999999999e-02 3.851071120624265e-03
9.273679999999999e-02 3.750582966227386e-03
9.336090000000000e-02 3.676264032890254e-03
9.398500000000000e-02 3.625803628367149e-03
9.460900000000000e-02 3.596972679409974e-03
9.523310000000000e-02 3.587626945051601e-03
9.585710000000000e-02 3.595731283167851e-03
9.648120000000000e-02 3.619345600998401e-03
9.710530000000001e-02 3.656622157642413e-03
9.772930000000001e-02 3.705798679576339e-03
9.835339999999999e-02 3.765230791143120e-03
9.897739999999999e-02 3.833331558107118e-03
9.960150000000000e-02 3.908645101747317e-03
1.002260000000000e-01 3.989825826953027e-03
1.008500000000000e-01 4.075453460916393e-03
1.014740000000000e-01 4.164375409792712e-03
1.020980000000000e-01 4.255459777548477e-03
1.027220000000000e-01 4.347656188645672e-03
1.033460000000000e-01 4.439993663892886e-03
1.039700000000000e-01 4.531578406399648e-03
1.045940000000000e-01 4.621591506544378e-03
1.052180000000000e-01 4.709286574777009e-03
1.058420000000000e-01 4.793987310966413e-03
1.064660000000000e-01 4.875085018871344e-03
1.070900000000000e-01 4.952036074162543e-03
1.077140000000000e-01 5.024359354253828e-03
1.083380000000000e-01 5.091633638012571e-03
1.089620000000000e-01 5.153494983215915e-03
1.095860000000000e-01 5.209634089399309e-03
1.102110000000000e-01 5.259869120712754e-03
1.108350000000000e-01 5.303831135352562e-03
1.114590000000000e-01 5.341444201111891e-03
1.120830000000000e-01 5.372591243606499e-03
1.127070000000000e-01 5.397196671703088e-03
1.133310000000000e-01 5.415223799355631e-03
1.139550000000000e-01 5.426672299138331e-03
1.145790000000000e-01 5.431575692934301e-03
1.152030000000000e-01 5.429998884928733e-03
1.158270000000000e-01 5.422035741740371e-03
1.164510000000000e-01 5.407806724206753e-03
1.170750000000000e-01 5.387456575017980e-03
1.176990000000000e-01 5.361152066071693e-03
1.183230000000000e-01 5.329079809099428e-03
1.189470000000000e-01 5.291444132792901e-03
1.195710000000000e-01 5.248465029338565e-03
1.201950000000000e-01 5.200376172951164e-03
1.208200000000000e-01 5.147334383493209e-03
1.214440000000000e-01 5.089765135793971e-03
1.220680000000000e-01 5.027850989018416e-03
1.226920000000000e-01 4.961862053165547e-03
1.233160000000000e-01 4.892073359377090e-03
1.239400000000000e-01 4.818763347755460e-03
1.245640000000000e-01 4.742212436816688e-03
1.251880000000000e-01 4.662701674819129e-03
1.258120000000000e-01 4.580511472949679e-03
1.264360000000000e-01 4.495920420099963e-03
1.270600000000000e-01 4.409204178725690e-03
1.276840000000000e-01 4.320634461054040e-03
1.283080000000000e-01 4.230478084686026e-03
1.289320000000000e-01 4.138996106434875e-03
1.295560000000000e-01 4.046443033046443e-03
1.301800000000000e-01 3.953066107265072e-03
1.308050000000000e-01 3.858953743992381e-03
1.314290000000000e-01 3.764638269740230e-03
1.320530000000000e-01 3.670191389361190e-03
1.326770000000000e-01 3.575825578770820e-03
1.333010000000000e-01 3.481743544798976e-03
1.339250000000000e-01 3.388137922445463e-03
1.345490000000000e-01 3.295191032622509e-03
1.351730000000000e-01 3.203074697823970e-03
1.357970000000000e-01 3.111950113087811e-03
1.364210000000000e-01 3.021967769557466e-03
1.370450000000000e-01 2.933267427897742e-03
1.376690000000000e-01 2.845978138782926e-03
1.382930000000000e-01 2.760218307647238e-03
1.389170000000000e-01 2.676095800871460e-03
1.395410000000000e-01 2.593708090573506e-03
1.401650000000000e-01 2.513142435174542e-03
1.407890000000000e-01 2.434476092926109e-03
1.414140000000000e-01 2.357655260507266e-03
1.420380000000000e-01 2.282983851049068e-03
1.426620000000000e-01 2.210386170809172e-03
1.432860000000000e-01 2.139902160915091e-03
1.439100000000000e-01 2.071563228504712e-03
1.445340000000000e-01 2.005392600814530e-03
1.451580000000000e-01 1.941405693627711e-03
1.457820000000000e-01 1.879610491672822e-03
1.464060000000000e-01 1.820007938644411e-03
1.470300000000000e-01 1.762592334602398e-03
1.476540000000000e-01 1.707351738597092e-03
1.482780000000000e-01 1.654268374460854e-03
1.489020000000000e-01 1.603319037804790e-03
1.495260000000000e-01 1.554475502359478e-03
1.501500000000000e-01 1.507704923901603e-03
1.507740000000000e-01 1.462970240113497e-03
1.513980000000000e-01 1.420230564828947e-03
1.520230000000000e-01 1.379377748817928e-03
